,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1380775559,3,6,8,-37.7908183,144.9857929,-37.8158343,145.04645,7471.0,2018-04-22,23:04:29,2192.7000000000003,23:41:01,21.9
ID1720212854,0,4,3,-37.7996719,144.9913212,-37.819338,144.9851526,2567.0,2018-01-13,12:58:48,713.4599999999998,13:10:41,13.92
ID5169297125,2,2,9,-37.8149572,144.9327763,-38.1109156,144.6541725,43505.0,2018-01-11,07:17:18,10442.939999999999,10:11:20,1007.11
ID3269358937,1,2,1,-37.8194924,144.9436232,-37.8109156,144.9719503,2974.0,2018-07-09,09:36:43,730.32,9:48:53,7.85
ID1957551276,0,8,3,-37.8158343,145.04645,-37.8195727,144.9973713,5170.0,2018-01-10,03:13:27,1613.94,3:40:20,18.89
ID5781436857,2,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-07-14,22:52:39,4917.479999999999,0:14:36,505.07
ID1891883376,0,6,4,-37.7874421,144.9804091,-37.8165229,145.0093465,5721.0,2018-06-03,18:00:31,1504.6800000000003,18:25:35,15.69
ID5553232386,2,8,5,-37.8158343,145.04645,-37.8059806,144.9391348,9647.0,2018-07-18,23:07:52,2767.619999999998,23:53:59,292.02
ID1260600190,0,4,6,-37.8142125,145.0116775,-37.7874421,144.9804091,5670.0,2018-05-07,11:26:32,1439.3399999999997,11:50:31,7.72
ID1326896470,0,8,6,-37.807202,145.0266373,-37.7874325,144.9803767,5793.0,2018-07-01,11:08:12,1493.5200000000002,11:33:05,11.09
ID5508592080,2,4,2,-37.8132482,145.0001319,-37.8121891,144.9377208,6510.0,2018-05-08,02:32:18,1613.8799999999987,2:59:11,183.14
ID3677499122,1,5,3,-37.8044637,144.9259273,-37.8248441,144.9846728,6416.0,2018-01-02,18:59:41,1686.7200000000005,19:27:47,17.23
ID3655688550,1,4,5,-37.8134029,145.0025066,-37.8154839,144.9282243,8097.0,2018-07-09,17:36:45,2014.8000000000013,18:10:19,17.7
ID1917612316,2,5,2,-37.8187356,144.9166239,-37.8124175,144.9369108,2680.0,2018-03-11,11:20:55,737.34,11:33:12,10.43
ID5199516190,2,5,2,-37.8152489,144.9277273,-37.8113745,144.9368917,2636.0,2018-02-19,19:42:44,652.4400000000002,19:53:36,83.54
ID1201611850,2,1,7,-37.8027845,144.9504177,-37.8618349,144.905716,10041.0,2018-03-21,01:59:59,3325.08,2:55:24,19.82
ID1452640833,0,2,3,-37.8148527,144.9376535,-37.8188475,144.9825052,4661.0,2018-01-23,03:37:53,1107.0600000000004,3:56:20,15.92
ID3271381965,1,8,2,-37.807202,145.0266373,-37.8145363,144.9390453,8616.0,2018-02-07,09:53:00,2239.68,10:30:19,17.74
ID1278792125,0,8,6,-37.8158343,145.04645,-37.773845,144.9836895,10698.0,2018-05-09,10:32:10,2735.16,11:17:45,8.97
ID1547629704,1,1,6,-37.802889,144.9476755,-37.7738026,144.9836466,8432.0,2018-04-27,19:45:38,2639.34,20:29:37,14.86
ID5508138851,2,1,9,-37.8201663,144.9506055,-38.1109156,144.6541725,42150.0,2018-05-23,00:46:00,10148.88,3:35:08,996.08
ID3558817740,1,1,7,-37.8189575,144.9527964,-37.8618349,144.905716,8579.0,2018-02-21,00:52:33,2937.78,1:41:30,25.93
ID1273142468,0,1,4,-37.8055759,144.9735968,-37.8030153,144.9930485,2252.0,2018-07-23,10:11:22,577.5000000000001,10:20:59,6.65
ID5153230888,2,1,8,-37.8142545,144.9357958,-37.807202,145.0266373,8903.0,2018-05-24,21:26:19,2255.82,20:48:44,234.14
ID1603282589,0,4,7,-37.8007517,145.0022001,-37.8618349,144.905716,12040.0,2018-02-21,06:44:45,3855.120000000001,7:49:00,10.86
ID1511868224,0,4,9,-37.8031671,145.0042037,-38.1109156,144.6541725,47803.0,2018-06-21,13:56:41,11572.859999999999,10:43:49,25.43
ID3134454506,1,1,2,-37.8068929,144.9377451,-37.8237402,144.9353131,3736.0,2018-02-05,0:47:14,983.7600000000001,00:30:51,18.78
ID3981427666,1,9,6,-38.1109156,144.6541725,-37.7908183,144.9857929,47186.0,2018-03-23,17:24:32,11423.220000000008,14:14:09,59.21
ID1321592676,0,6,2,-37.773845,144.9836895,-37.8115199,144.9272068,8045.0,2018-04-11,23:52:07,1788.959999999999,0:21:55,18.0
ID1146866229,0,5,9,-37.8088818,144.9283336,-38.1109156,144.6541725,44059.0,2018-03-15,1:31:56,10583.339999999998,22:35:33,32.21
ID3412953683,1,3,5,-37.8163302,144.9958943,-37.8085213,144.9280532,7416.0,2018-04-27,05:25:47,1847.2799999999997,5:56:34,23.76
ID1866902594,0,4,6,-37.8035213,144.9948772,-37.7874325,144.9803767,3125.0,2018-02-12,22:32:44,785.0999999999999,22:45:49,15.94
ID1195769104,0,9,3,-38.1109156,144.6541725,-37.8146853,144.9839096,45382.0,2018-04-02,17:17:36,10869.600000000004,20:18:45,27.54
ID5483509922,2,6,4,-37.773845,144.9836895,-37.8011831,144.9997026,6156.0,2018-01-04,19:27:09,1333.9200000000003,19:49:22,146.29
ID5926580833,2,1,7,-37.806604,144.9518701,-37.8618349,144.905716,9491.0,2018-01-18,5:46:51,3197.28,04:53:34,331.65
ID3510505982,1,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-03-05,06:50:16,4917.479999999999,8:12:13,27.59
ID1614195957,0,1,4,-37.7992877,144.9723465,-37.816205,145.015472,5506.0,2018-03-08,17:29:13,1450.26,17:53:23,13.24
ID1884704225,0,5,6,-37.8056292,144.9372341,-37.7738026,144.9836466,9729.0,2018-06-18,06:50:56,2969.4,7:40:25,10.74
ID1619641605,0,9,5,-38.1109156,144.6541725,-37.8044637,144.9259273,44197.0,2018-04-20,7:47:16,10647.719999999998,04:49:49,33.37
ID3471060173,1,3,6,-37.8195669,144.9778104,-37.7874421,144.9804091,4075.0,2018-03-08,5:33:40,1015.9200000000001,05:16:45,17.98
ID5752929998,2,1,7,-37.8085074,144.9593706,-37.8618349,144.905716,8832.0,2018-07-10,18:30:55,2995.5,19:20:50,307.17
ID1569993895,0,3,6,-37.8098635,144.9938496,-37.7874325,144.9803767,3788.0,2018-02-13,14:10:36,912.3600000000001,14:25:48,9.9
ID3330145634,1,8,5,-37.807202,145.0266373,-37.8093973,144.9378374,9024.0,2018-03-15,03:25:08,2266.439999999999,4:02:54,23.81
ID3796005534,1,4,7,-37.8041594,144.9962001,-37.8618349,144.905716,11258.0,2018-07-11,14:44:36,3661.92,15:45:37,27.06
ID3134898722,1,6,7,-37.7874421,144.9804091,-37.8618349,144.905716,11630.0,2018-06-26,18:14:32,3697.0200000000013,19:16:09,25.27
ID1806515064,0,3,9,-37.8211602,144.98368,-38.1109156,144.6541725,45505.0,2018-04-10,09:09:47,10974.3,12:12:41,23.75
ID3406469495,1,9,5,-38.1109156,144.6541725,-37.8049255,144.9272137,44025.0,2018-06-15,8:23:39,10603.319999999998,05:26:56,59.7
ID3899972422,1,6,4,-37.7907967,144.985865,-37.8028881,145.0029594,2796.0,2018-02-26,14:58:10,802.44,15:11:32,11.9
ID3447707292,1,2,8,-37.8162818,144.9323467,-37.8158343,145.04645,10798.0,2018-03-20,23:10:09,3019.6800000000003,22:19:50,27.16
ID5356488208,2,2,7,-37.8224885,144.9400214,-37.8618349,144.905716,9542.0,2018-07-27,17:57:47,3270.18,18:52:17,332.84
ID1969607988,0,7,1,-37.8618349,144.905716,-37.8077239,144.9733423,9268.0,2018-03-23,15:22:30,3062.7599999999984,16:13:32,15.43
ID5904532121,2,2,3,-37.8118829,144.9369457,-37.8144084,144.9715494,3932.0,2018-04-21,16:21:10,1001.1600000000003,16:37:51,122.37
