Unnamed: 0,Unnamed: 0.1,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
31,ID1296497142,0,3,7,-37.8246564,144.9903185,-37.8618349,144.90571599999996,9366.0,2018-01-19,11:45:31,3083.34,12:36:54,9.22
32,ID3306947781,1,2,1,-37.8178533,144.9461445,-37.8095141,144.9472523,1500.0,2018-01-01,19:22:42,374.94000000000017,19:28:56,13.24
33,ID1629789792,0,2,7,-37.82517360000001,144.9473259,-37.8618349,144.90571599999996,8879.0,2018-05-21,16:51:39,3001.5,17:41:40,10.53
34,ID3290825955,1,4,3,-37.8046614,144.9927895,-37.8197216,144.96816850000005,3474.0,2018-07-02,01:34:09,936.42,1:49:45,20.07
35,ID3764039471,1,1,5,-37.8019573,144.96372119999995,-37.791144,144.9368632,3590.0,2018-02-01,22:59:23,952.5600000000003,23:15:15,18.6
37,ID1278042558,0,5,3,-37.8030248,144.9292043,-37.8127872,144.9770046,4892.0,2018-05-13,17:37:51,1245.12,17:58:36,13.76
38,ID3570055174,1,6,5,-37.7907967,144.985865,-37.803488,144.93646840000005,6713.0,2018-05-20,23:12:01,1892.76,23:43:33,26.36
39,ID3934589148,1,6,2,-37.7874421,144.9804091,-37.8242735,144.9450166,6136.0,2018-03-27,20:05:42,1662.9600000000007,20:33:24,17.91
40,ID3691744869,1,9,2,-38.1109156,144.65417250000004,-37.8160229,144.93830309999996,42540.0,2018-03-09,09:18:34,10211.699999999997,12:08:45,47.03
41,ID3583823097,1,6,4,-37.7874421,144.9804091,-37.81242020000001,145.01503119999995,5587.0,2018-04-23,14:09:02,1438.9199999999994,14:33:00,16.61
42,ID1530194344,0,9,5,-38.1109156,144.65417250000004,-37.804508,144.9376613,44022.0,2018-03-15,03:37:48,10604.640000000003,6:34:32,28.26
44,ID5579619600,2,8,4,-37.8158343,145.04645,-37.8045049,145.00270600000005,4998.0,2018-02-09,12:07:25,1590.84,12:33:55,150.29
46,ID1812193441,0,4,8,-37.8071388,144.9916771,-37.8158343,145.04645,5182.0,2018-05-08,23:48:14,1560.72,0:14:14,13.74
47,ID1651126325,0,7,4,-37.8618349,144.90571599999996,-37.8023809,144.9918315,11354.0,2018-04-20,21:42:03,3703.7999999999975,22:43:46,15.88
48,ID1965363250,0,9,6,-38.1109156,144.65417250000004,-37.7874325,144.9803767,47033.0,2018-06-14,01:03:31,11355.660000000005,4:12:46,28.53
49,ID1442038920,0,9,4,-38.1109156,144.65417250000004,-37.8127402,145.0130446,48170.0,2018-03-13,22:07:45,11676.12000000001,1:22:21,27.71
50,ID3211220490,1,8,4,-37.8158343,145.04645,-37.7979967,145.0009341,5287.0,2018-06-09,22:25:14,1603.8000000000006,22:51:57,26.77
51,ID1145810158,0,6,1,-37.7874421,144.9804091,-37.8051845,144.9685429,2680.0,2018-02-06,18:44:30,693.84,18:56:03,9.01
53,ID3646499361,1,9,6,-38.1109156,144.65417250000004,-37.7907967,144.985865,47193.0,2018-01-02,03:01:05,11535.780000000008,6:13:20,65.13
55,ID3870732419,1,8,6,-37.8158343,145.04645,-37.7874325,144.9803767,8361.0,2018-06-17,16:06:56,2438.2200000000007,16:47:34,24.94
56,ID3964050819,1,1,4,-37.821130200000006,144.9577365,-37.8131361,145.01144680000004,5556.0,2018-07-07,22:43:26,1444.9200000000005,23:07:30,25.29
57,ID3664400349,1,3,1,-37.824903000000006,144.9923348,-37.8112445,144.9618019,3465.0,2018-05-02,14:48:06,800.6400000000003,15:01:26,13.2
58,ID1131212869,0,4,2,-37.8005312,145.01384309999997,-37.813666,144.9400208,7452.0,2018-02-21,13:11:15,1920.0599999999995,13:43:15,9.8
59,ID3258474844,1,9,6,-38.1109156,144.65417250000004,-37.7908183,144.9857929,47186.0,2018-07-12,16:59:28,11423.220000000007,20:09:51,59.45
60,ID1263170016,0,3,7,-37.81977979999999,144.98252,-37.8618349,144.90571599999996,9062.0,2018-04-28,08:18:39,3001.74,9:08:40,10.74
61,ID3143095451,1,7,3,-37.8618349,144.90571599999996,-37.8097941,144.99319540000005,10432.0,2018-05-07,22:01:29,3458.039999999998,22:59:07,30.14
62,ID1907323906,0,6,8,-37.773845,144.9836895,-37.807202,145.0266373,8606.0,2018-07-20,21:03:24,1995.7200000000007,21:36:39,16.2
63,ID1717977088,0,9,4,-38.1109156,144.65417250000004,-37.8001032,145.0050381,48172.0,2018-06-05,13:16:29,11699.220000000005,16:31:28,22.36
64,ID1744342338,0,1,8,-37.81227970000001,144.9380957,-37.8158343,145.04645,9927.0,2018-05-22,11:10:55,2801.04,11:57:36,8.05
67,ID1488729363,0,7,1,-37.8618349,144.90571599999996,-37.8208677,144.9571674,8064.0,2018-06-05,15:30:43,2786.159999999999,16:17:09,10.78
68,ID3811697081,1,9,2,-38.1109156,144.65417250000004,-37.8230778,144.9378628,43063.0,2018-05-06,22:32:56,10365.3,1:25:41,62.24
69,ID1863223045,0,2,6,-37.8133361,144.937065,-37.7874421,144.9804091,5991.0,2018-04-05,16:40:19,1528.3200000000006,17:05:47,5.485
71,ID5612043958,2,5,4,-37.8070674,144.9376258,-37.8079278,145.009984,7381.0,2018-02-13,13:20:31,1848.0600000000006,13:51:19,169.99
72,ID1825982096,0,3,7,-37.8172963,144.9879749,-37.8618349,144.90571599999996,9620.0,2018-01-21,13:38:28,3105.78,14:30:13,16.24
73,ID3136099483,1,2,6,-37.8158159,144.9369455,-37.7874325,144.9803767,6000.0,2018-07-21,03:07:29,1493.0400000000006,3:32:22,25.22
75,ID3903893263,1,5,4,-37.7993334,144.9259476,-37.8121826,145.01638789999996,8961.0,2018-07-06,22:38:49,2228.460000000001,23:15:57,25.35
76,ID1865590440,0,1,7,-37.8070723,144.94117759999997,-37.8618349,144.90571599999996,10213.0,2018-03-19,00:44:53,3337.680000000001,1:40:30,17.75
77,ID1761784612,0,8,2,-37.807202,145.0266373,-37.8244809,144.94534860000005,8567.0,2018-07-11,01:16:32,2210.7600000000007,1:53:22,14.7
78,ID3193840442,1,9,4,-38.1109156,144.65417250000004,-37.8043117,144.9947485,46830.0,2018-05-26,06:42:55,11341.260000000006,9:51:56,57.96
80,ID1669915767,0,8,9,-37.8158343,145.04645,-38.1109156,144.65417250000004,51032.0,2018-07-19,11:54:32,12681.059999999998,15:25:53,20.7
81,ID3836460316,1,1,9,-37.8032344,144.9669507,-38.1109156,144.65417250000004,44577.0,2018-06-22,20:22:45,10797.78,23:22:42,55.92
84,ID3235490296,1,5,6,-37.8062311,144.9395274,-37.7874421,144.9804091,6037.0,2018-06-01,07:12:02,1606.5600000000006,7:38:48,13.35
85,ID1170421587,0,6,7,-37.7908183,144.9857929,-37.8618349,144.90571599999996,11712.0,2018-05-07,05:45:17,3717.4800000000014,6:47:14,17.71
86,ID1490985183,0,1,4,-37.81773670000001,144.9591666,-37.8136295,145.0128635,5419.0,2018-07-20,19:09:37,1363.8600000000004,19:32:20,10.0
87,ID1716677928,0,6,5,-37.7874421,144.9804091,-37.8058557,144.9280957,6672.0,2018-01-01,18:23:09,1797.12,18:53:06,8.42
88,ID1278722705,0,9,6,-38.1109156,144.65417250000004,-37.7874421,144.9804091,47035.0,2018-06-16,01:28:38,11413.020000000008,4:38:51,31.36
90,ID3644627949,1,4,3,-37.8160204,145.0111408,-37.8196969,144.97441750000004,3912.0,2018-07-07,16:15:57,1003.14,16:32:40,18.54
91,ID3371518132,1,1,6,-37.81383320000001,144.9376909,-37.7738026,144.9836466,10029.0,2018-03-03,15:10:57,3056.76,16:01:53,26.9
93,ID1739543654,0,6,7,-37.7908183,144.9857929,-37.8618349,144.90571599999996,11712.0,2018-07-14,03:38:44,3717.4800000000014,4:40:41,21.29
